ID,REFERENCE_ID,REMITTER_ID,AMOUNT,STATUS_CODE,OPERATION_STATUS,AMOUNT_PAID,CURRENCY_AMOUNT_PAID
103721,r15d0000000026,DOLEUSTX*R8,7.000,7,RECONCILED,7.000,USD
103722,r15d0000000023,DOLEUSTX*R8,4.000,7,RECONCILED,4.000,USD
103723,r15d0000000029,DOLEUSTX*R8,10.000,7,RECONCILED,10.000,USD
103724,r15d0000000028,DOLEUSTX*R8,9.000,7,RECONCILED,9.000,USD
103725,r15d0000000030,DOLEUSTX*R8,11.000,7,RECONCILED,11.000,USD
103726,r15d0000000031,DOLEUSTX*R8,12.000,7,RECONCILED,12.000,USD
103727,r15d0000000034,DOLEUSTX*R8,15.000,7,RECONCILED,15.000,USD
103728,r15d0000000035,DOLEUSTX*R8,16.000,7,RECONCILED,16.000,USD
103729,r15d0000000027,DOLEUSTX*R8,8.000,7,RECONCILED,8.000,USD
103730,r15d0000000033,DOLEUSTX*R8,14.000,7,RECONCILED,14.000,USD
103731,r15d0000000037,DOLEUSTX*R8,18.000,7,RECONCILED,18.000,USD
103732,r15d0000000032,DOLEUSTX*R8,13.000,7,RECONCILED,13.000,USD
103733,r15d0000000040,DOLEUSTX*R8,21.000,7,RECONCILED,21.000,USD
103734,r15d0000000041,DOLEUSTX*R8,22.000,7,RECONCILED,22.000,USD
103735,r15d0000000036,DOLEUSTX*R8,17.000,7,RECONCILED,17.000,USD
103736,r15d0000000044,DOLEUSTX*R8,25.000,7,RECONCILED,25.000,USD
103737,r15d0000000050,DOLEUSTX*R8,31.000,7,RECONCILED,31.000,USD
103738,r15d0000000046,DOLEUSTX*R8,27.000,7,RECONCILED,27.000,USD
103739,r15d0000000039,DOLEUSTX*R8,20.000,7,RECONCILED,20.000,USD
103740,r15d0000000048,DOLEUSTX*R8,29.000,7,RECONCILED,29.000,USD
103741,r15d0000000042,DOLEUSTX*R8,23.000,7,RECONCILED,23.000,USD
103742,r15d0000000043,DOLEUSTX*R8,24.000,7,RECONCILED,24.000,USD
103743,r15d0000000051,DOLEUSTX*R8,32.000,7,RECONCILED,32.000,USD
103744,r15d0000000045,DOLEUSTX*R8,26.000,7,RECONCILED,26.000,USD
103745,r15d0000000052,DOLEUSTX*R8,33.000,7,RECONCILED,33.000,USD
103746,r15d0000000056,DOLEUSTX*R8,37.000,7,RECONCILED,37.000,USD
103747,r15d0000000054,DOLEUSTX*R8,35.000,7,RECONCILED,35.000,USD
103748,r15d0000000061,DOLEUSTX*R8,42.000,7,RECONCILED,42.000,USD
103749,r15d0000000057,DOLEUSTX*R8,38.000,7,RECONCILED,38.000,USD
103750,r15d0000000062,DOLEUSTX*R8,43.000,7,RECONCILED,43.000,USD
103751,r15d0000000047,DOLEUSTX*R8,28.000,7,RECONCILED,28.000,USD
103752,r15d0000000067,DOLEUSTX*R8,48.000,7,RECONCILED,48.000,USD
103753,r15d0000000049,DOLEUSTX*R8,30.000,7,RECONCILED,30.000,USD
103754,r15d0000000065,DOLEUSTX*R8,46.000,7,RECONCILED,46.000,USD
103755,r15d0000000070,DOLEUSTX*R8,51.000,7,RECONCILED,51.000,USD
103756,r15d0000000055,DOLEUSTX*R8,36.000,7,RECONCILED,36.000,USD
103757,r15d0000000060,DOLEUSTX*R8,41.000,7,RECONCILED,41.000,USD
103758,r15d0000000068,DOLEUSTX*R8,49.000,7,RECONCILED,49.000,USD
103759,r15d0000000058,DOLEUSTX*R8,39.000,7,RECONCILED,39.000,USD
103760,r15d0000000072,DOLEUSTX*R8,53.000,7,RECONCILED,53.000,USD
103761,r15d0000000077,DOLEUSTX*R8,58.000,7,RECONCILED,58.000,USD
103762,r15d0000000053,DOLEUSTX*R8,34.000,7,RECONCILED,34.000,USD
103763,r15d0000000059,DOLEUSTX*R8,40.000,7,RECONCILED,40.000,USD
103764,r15d0000000080,DOLEUSTX*R8,61.000,7,RECONCILED,61.000,USD
103765,r15d0000000064,DOLEUSTX*R8,45.000,7,RECONCILED,45.000,USD
103766,r15d0000000069,DOLEUSTX*R8,50.000,7,RECONCILED,50.000,USD
103767,r15d0000000071,DOLEUSTX*R8,52.000,7,RECONCILED,52.000,USD
103768,r15d0000000075,DOLEUSTX*R8,56.000,7,RECONCILED,56.000,USD
103769,r15d0000000074,DOLEUSTX*R8,55.000,7,RECONCILED,55.000,USD
103770,r15d0000000085,DOLEUSTX*R8,66.000,7,RECONCILED,66.000,USD
103771,r15d0000000063,DOLEUSTX*R8,44.000,7,RECONCILED,44.000,USD
103772,r15d0000000066,DOLEUSTX*R8,47.000,7,RECONCILED,47.000,USD
103773,r15d0000000078,DOLEUSTX*R8,59.000,7,RECONCILED,59.000,USD
103774,r15d0000000087,DOLEUSTX*R8,68.000,7,RECONCILED,68.000,USD
103775,r15d0000000093,DOLEUSTX*R8,74.000,7,RECONCILED,74.000,USD
103776,r15d0000000079,DOLEUSTX*R8,60.000,7,RECONCILED,60.000,USD
103777,r15d0000000082,DOLEUSTX*R8,63.000,7,RECONCILED,63.000,USD
103778,r15d0000000088,DOLEUSTX*R8,69.000,7,RECONCILED,69.000,USD
103779,r15d0000000073,DOLEUSTX*R8,54.000,7,RECONCILED,54.000,USD
103780,r15d0000000076,DOLEUSTX*R8,57.000,7,RECONCILED,57.000,USD
103781,r15d0000000084,DOLEUSTX*R8,65.000,7,RECONCILED,65.000,USD
103782,r15d0000000081,DOLEUSTX*R8,62.000,7,RECONCILED,62.000,USD
103783,r15d0000000090,DOLEUSTX*R8,71.000,7,RECONCILED,71.000,USD
103784,r15d0000000083,DOLEUSTX*R8,64.000,7,RECONCILED,64.000,USD
103785,r15d0000000095,DOLEUSTX*R8,76.000,7,RECONCILED,76.000,USD
103786,r15d0000000096,DOLEUSTX*R8,77.000,7,RECONCILED,77.000,USD
103787,r15d0000000089,DOLEUSTX*R8,70.000,7,RECONCILED,70.000,USD
103788,r15d0000000086,DOLEUSTX*R8,67.000,7,RECONCILED,67.000,USD
103789,r15d0000000091,DOLEUSTX*R8,72.000,7,RECONCILED,72.000,USD
103790,r15d0000000092,DOLEUSTX*R8,73.000,7,RECONCILED,73.000,USD
103791,r15d0000000097,DOLEUSTX*R8,78.000,7,RECONCILED,78.000,USD
103792,r15d0000000094,DOLEUSTX*R8,75.000,7,RECONCILED,75.000,USD
103793,r15d0000000025,DOLEUSTX*R8,6.000,7,RECONCILED,6.000,USD
103794,r15d00000000131,DOLEUSTX*R8,2.000,7,RECONCILED,2.000,USD
103795,r15d00000000130,DOLEUSTX*R8,1.000,7,RECONCILED,1.000,USD
103796,r15d00000000134,DOLEUSTX*R8,5.000,7,RECONCILED,5.000,USD
103797,r15d00000000133,DOLEUSTX*R8,4.000,7,RECONCILED,4.000,USD
103798,r15d00000000132,DOLEUSTX*R8,3.000,7,RECONCILED,3.000,USD
103799,r15d00000000138,DOLEUSTX*R8,9.000,7,RECONCILED,9.000,USD
103800,r15d00000000137,DOLEUSTX*R8,8.000,7,RECONCILED,8.000,USD
103801,r15d00000000135,DOLEUSTX*R8,6.000,7,RECONCILED,6.000,USD
103802,r15d00000000136,DOLEUSTX*R8,7.000,7,RECONCILED,7.000,USD
103803,r15d00000000142,DOLEUSTX*R8,13.000,7,RECONCILED,13.000,USD
103804,r15d00000000141,DOLEUSTX*R8,12.000,7,RECONCILED,12.000,USD
103805,r15d00000000145,DOLEUSTX*R8,16.000,7,RECONCILED,16.000,USD
103806,r15d00000000146,DOLEUSTX*R8,17.000,7,RECONCILED,17.000,USD
103807,r15d00000000140,DOLEUSTX*R8,11.000,7,RECONCILED,11.000,USD
103808,r15d00000000148,DOLEUSTX*R8,19.000,7,RECONCILED,19.000,USD
103809,r15d00000000139,DOLEUSTX*R8,10.000,7,RECONCILED,10.000,USD
