ID,REFERENCE_ID,AMOUNT,EXCHANGE_RATE,STATUS_CODE,STATUS_DESCRIPTION,OPERATION_STATUS,AMOUNT_PAID,CURRENCY_AMOUNT_PAID,PROCESS_NUMBER
103721,r15d0000000026,7.000,,7,IN PROGRESS,RECONCILED,7.000,USD,89766452
103722,r15d0000000023,4.000,,7,IN PROGRESS,RECONCILED,4.000,USD,42401333
103723,r15d0000000029,10.000,,7,IN PROGRESS,RECONCILED,10.000,USD,58674213
103724,r15d0000000028,9.000,,7,IN PROGRESS,RECONCILED,9.000,USD,90256240
103725,r15d0000000030,11.000,,7,IN PROGRESS,RECONCILED,11.000,USD,71924933
103726,r15d0000000031,12.000,,7,IN PROGRESS,RECONCILED,12.000,USD,58544679
103727,r15d0000000034,15.000,,7,IN PROGRESS,RECONCILED,15.000,USD,66304393
103728,r15d0000000035,16.000,,7,IN PROGRESS,RECONCILED,16.000,USD,47758031
103729,r15d0000000027,8.000,,7,IN PROGRESS,RECONCILED,8.000,USD,88769754
103730,r15d0000000033,14.000,,7,IN PROGRESS,RECONCILED,14.000,USD,43771918
103731,r15d0000000037,18.000,,7,IN PROGRESS,RECONCILED,18.000,USD,70061931
103732,r15d0000000032,13.000,,7,IN PROGRESS,RECONCILED,13.000,USD,68180573
103733,r15d0000000040,21.000,,7,IN PROGRESS,RECONCILED,21.000,USD,61340157
103734,r15d0000000041,22.000,,7,IN PROGRESS,RECONCILED,22.000,USD,71397727
103735,r15d0000000036,17.000,,7,IN PROGRESS,RECONCILED,17.000,USD,62978836
103736,r15d0000000044,25.000,,7,IN PROGRESS,RECONCILED,25.000,USD,63023188
103737,r15d0000000050,31.000,,7,IN PROGRESS,RECONCILED,31.000,USD,61873557
103739,r15d0000000039,20.000,,7,IN PROGRESS,RECONCILED,20.000,USD,34247083
103738,r15d0000000046,27.000,,7,IN PROGRESS,RECONCILED,27.000,USD,92399469
103740,r15d0000000048,29.000,,7,IN PROGRESS,RECONCILED,29.000,USD,97446413
103741,r15d0000000042,23.000,,7,IN PROGRESS,RECONCILED,23.000,USD,48190462
103742,r15d0000000043,24.000,,7,IN PROGRESS,RECONCILED,24.000,USD,69201344
103744,r15d0000000045,26.000,,7,IN PROGRESS,RECONCILED,26.000,USD,60520381
103743,r15d0000000051,32.000,,7,IN PROGRESS,RECONCILED,32.000,USD,39179200
103745,r15d0000000052,33.000,,7,IN PROGRESS,RECONCILED,33.000,USD,40825745
103746,r15d0000000056,37.000,,7,IN PROGRESS,RECONCILED,37.000,USD,15999897
103747,r15d0000000054,35.000,,7,IN PROGRESS,RECONCILED,35.000,USD,93286515
103748,r15d0000000061,42.000,,7,IN PROGRESS,RECONCILED,42.000,USD,67044630
103749,r15d0000000057,38.000,,7,IN PROGRESS,RECONCILED,38.000,USD,80661194
103751,r15d0000000047,28.000,,7,IN PROGRESS,RECONCILED,28.000,USD,40442592
103750,r15d0000000062,43.000,,7,IN PROGRESS,RECONCILED,43.000,USD,44885640
103752,r15d0000000067,48.000,,7,IN PROGRESS,RECONCILED,48.000,USD,98399910
103753,r15d0000000049,30.000,,7,IN PROGRESS,RECONCILED,30.000,USD,99395065
103754,r15d0000000065,46.000,,7,IN PROGRESS,RECONCILED,46.000,USD,21162928
103755,r15d0000000070,51.000,,7,IN PROGRESS,RECONCILED,51.000,USD,84319133
103756,r15d0000000055,36.000,,7,IN PROGRESS,RECONCILED,36.000,USD,68266451
103757,r15d0000000060,41.000,,7,IN PROGRESS,RECONCILED,41.000,USD,63580937
103758,r15d0000000068,49.000,,7,IN PROGRESS,RECONCILED,49.000,USD,97239168
103759,r15d0000000058,39.000,,7,IN PROGRESS,RECONCILED,39.000,USD,35342749
103760,r15d0000000072,53.000,,7,IN PROGRESS,RECONCILED,53.000,USD,70653237
103761,r15d0000000077,58.000,,7,IN PROGRESS,RECONCILED,58.000,USD,52803454
103762,r15d0000000053,34.000,,7,IN PROGRESS,RECONCILED,34.000,USD,82013203
103763,r15d0000000059,40.000,,7,IN PROGRESS,RECONCILED,40.000,USD,73862762
103764,r15d0000000080,61.000,,7,IN PROGRESS,RECONCILED,61.000,USD,20541279
103765,r15d0000000064,45.000,,7,IN PROGRESS,RECONCILED,45.000,USD,62089437
103766,r15d0000000069,50.000,,7,IN PROGRESS,RECONCILED,50.000,USD,21495045
103767,r15d0000000071,52.000,,7,IN PROGRESS,RECONCILED,52.000,USD,75353415
103768,r15d0000000075,56.000,,7,IN PROGRESS,RECONCILED,56.000,USD,63202722
103769,r15d0000000074,55.000,,7,IN PROGRESS,RECONCILED,55.000,USD,91453363
103770,r15d0000000085,66.000,,7,IN PROGRESS,RECONCILED,66.000,USD,82180764
103771,r15d0000000063,44.000,,7,IN PROGRESS,RECONCILED,44.000,USD,26729314
103772,r15d0000000066,47.000,,7,IN PROGRESS,RECONCILED,47.000,USD,55567286
103773,r15d0000000078,59.000,,7,IN PROGRESS,RECONCILED,59.000,USD,89152349
103774,r15d0000000087,68.000,,7,IN PROGRESS,RECONCILED,68.000,USD,41100440
103775,r15d0000000093,74.000,,7,IN PROGRESS,RECONCILED,74.000,USD,92120813
103776,r15d0000000079,60.000,,7,IN PROGRESS,RECONCILED,60.000,USD,66148627
103777,r15d0000000082,63.000,,7,IN PROGRESS,RECONCILED,63.000,USD,47320566
103778,r15d0000000088,69.000,,7,IN PROGRESS,RECONCILED,69.000,USD,94249393
103779,r15d0000000073,54.000,,7,IN PROGRESS,RECONCILED,54.000,USD,35865901
103780,r15d0000000076,57.000,,7,IN PROGRESS,RECONCILED,57.000,USD,23027867
103781,r15d0000000084,65.000,,7,IN PROGRESS,RECONCILED,65.000,USD,64250258
103782,r15d0000000081,62.000,,7,IN PROGRESS,RECONCILED,62.000,USD,18557126
103783,r15d0000000090,71.000,,7,IN PROGRESS,RECONCILED,71.000,USD,32150464
103784,r15d0000000083,64.000,,7,IN PROGRESS,RECONCILED,64.000,USD,12130648
103785,r15d0000000095,76.000,,7,IN PROGRESS,RECONCILED,76.000,USD,53218889
103786,r15d0000000096,77.000,,7,IN PROGRESS,RECONCILED,77.000,USD,19084851
103787,r15d0000000089,70.000,,7,IN PROGRESS,RECONCILED,70.000,USD,15326292
103788,r15d0000000086,67.000,,7,IN PROGRESS,RECONCILED,67.000,USD,31769409
103789,r15d0000000091,72.000,,7,IN PROGRESS,RECONCILED,72.000,USD,73853766
103790,r15d0000000092,73.000,,7,IN PROGRESS,RECONCILED,73.000,USD,70560570
103791,r15d0000000097,78.000,,7,IN PROGRESS,RECONCILED,78.000,USD,45584897
103792,r15d0000000094,75.000,,7,IN PROGRESS,RECONCILED,75.000,USD,74321746
103793,r15d0000000025,6.000,,7,IN PROGRESS,RECONCILED,6.000,USD,87263968
103794,r15d00000000131,2.000,,7,IN PROGRESS,RECONCILED,2.000,USD,99571488
103795,r15d00000000130,1.000,,7,IN PROGRESS,RECONCILED,1.000,USD,14137687
103796,r15d00000000134,5.000,,7,IN PROGRESS,RECONCILED,5.000,USD,99663982
103797,r15d00000000133,4.000,,7,IN PROGRESS,RECONCILED,4.000,USD,51918942
103798,r15d00000000132,3.000,,7,IN PROGRESS,RECONCILED,3.000,USD,52984578
103799,r15d00000000138,9.000,,7,IN PROGRESS,RECONCILED,9.000,USD,67135328
103800,r15d00000000137,8.000,,7,IN PROGRESS,RECONCILED,8.000,USD,65628444
103801,r15d00000000135,6.000,,7,IN PROGRESS,RECONCILED,6.000,USD,47185459
103802,r15d00000000136,7.000,,7,IN PROGRESS,RECONCILED,7.000,USD,38758616
103803,r15d00000000142,13.000,,7,IN PROGRESS,RECONCILED,13.000,USD,42657362
103804,r15d00000000141,12.000,,7,IN PROGRESS,RECONCILED,12.000,USD,78975868
103805,r15d00000000145,16.000,,7,IN PROGRESS,RECONCILED,16.000,USD,33268281
103806,r15d00000000146,17.000,,7,IN PROGRESS,RECONCILED,17.000,USD,47207803
103807,r15d00000000140,11.000,,7,IN PROGRESS,RECONCILED,11.000,USD,71755439
103808,r15d00000000148,19.000,,7,IN PROGRESS,RECONCILED,19.000,USD,68951041
103809,r15d00000000139,10.000,,7,IN PROGRESS,RECONCILED,10.000,USD,25389533
103810,r15d00000000144,15.000,,7,IN PROGRESS,RECONCILED,15.000,USD,31090669
103811,r15d00000000143,14.000,,7,IN PROGRESS,RECONCILED,14.000,USD,67726979
103812,r15d00000000149,20.000,,7,IN PROGRESS,RECONCILED,20.000,USD,47214202
103813,r15d00000000152,23.000,,7,IN PROGRESS,RECONCILED,23.000,USD,22009824
103814,r15d00000000153,24.000,,7,IN PROGRESS,RECONCILED,24.000,USD,29122887
103815,r15d00000000150,21.000,,7,IN PROGRESS,RECONCILED,21.000,USD,69065360
103816,r15d00000000156,27.000,,7,IN PROGRESS,RECONCILED,27.000,USD,51314261
103817,r15d00000000154,25.000,,7,IN PROGRESS,RECONCILED,25.000,USD,96724229
103818,r15d00000000147,18.000,,7,IN PROGRESS,RECONCILED,18.000,USD,51160568
103819,r15d00000000151,22.000,,7,IN PROGRESS,RECONCILED,22.000,USD,91365688
103820,r15d00000000159,30.000,,7,IN PROGRESS,RECONCILED,30.000,USD,32597365
103821,r15d00000000155,26.000,,7,IN PROGRESS,RECONCILED,26.000,USD,44769517
103822,r15d00000000157,28.000,,7,IN PROGRESS,RECONCILED,28.000,USD,83363006
103823,r15d00000000161,32.000,,7,IN PROGRESS,RECONCILED,32.000,USD,45510177
103824,r15d00000000158,29.000,,7,IN PROGRESS,RECONCILED,29.000,USD,17316183
103825,r15d00000000164,35.000,,7,IN PROGRESS,RECONCILED,35.000,USD,14923254
103826,r15d00000000167,38.000,,7,IN PROGRESS,RECONCILED,38.000,USD,84444658
103827,r15d00000000163,34.000,,7,IN PROGRESS,RECONCILED,34.000,USD,86103296
103828,r15d00000000160,31.000,,7,IN PROGRESS,RECONCILED,31.000,USD,59323761
103829,r15d00000000170,41.000,,7,IN PROGRESS,RECONCILED,41.000,USD,16024652
103830,r15d00000000165,36.000,,7,IN PROGRESS,RECONCILED,36.000,USD,88154580
103831,r15d00000000172,43.000,,7,IN PROGRESS,RECONCILED,43.000,USD,22201829
103832,r15d00000000162,33.000,,7,IN PROGRESS,RECONCILED,33.000,USD,49594165
103833,r15d00000000171,42.000,,7,IN PROGRESS,RECONCILED,42.000,USD,12203634
103834,r15d00000000166,37.000,,7,IN PROGRESS,RECONCILED,37.000,USD,37923140
103835,r15d00000000173,44.000,,7,IN PROGRESS,RECONCILED,44.000,USD,25467475
103836,r15d00000000169,40.000,,7,IN PROGRESS,RECONCILED,40.000,USD,56685430
103837,r15d00000000176,47.000,,7,IN PROGRESS,RECONCILED,47.000,USD,20633409
103838,r15d00000000174,45.000,,7,IN PROGRESS,RECONCILED,45.000,USD,24064988
103839,r15d00000000178,49.000,,7,IN PROGRESS,RECONCILED,49.000,USD,51321747
103840,r15d00000000181,52.000,,7,IN PROGRESS,RECONCILED,52.000,USD,19945359
103841,r15d00000000186,57.000,,7,IN PROGRESS,RECONCILED,57.000,USD,41867460
103842,r15d00000000168,39.000,,7,IN PROGRESS,RECONCILED,39.000,USD,39703323
103843,r15d00000000183,54.000,,7,IN PROGRESS,RECONCILED,54.000,USD,96388119
103844,r15d00000000175,46.000,,7,IN PROGRESS,RECONCILED,46.000,USD,17966912
103845,r15d00000000177,48.000,,7,IN PROGRESS,RECONCILED,48.000,USD,48836415
103846,r15d00000000180,51.000,,7,IN PROGRESS,RECONCILED,51.000,USD,13275986
103847,r15d00000000185,56.000,,7,IN PROGRESS,RECONCILED,56.000,USD,37968979
