timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736939743503,793,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,793,0,78
1736939744440,955,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,955,0,27
1736939745515,758,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,758,0,25
1736939746392,66,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,66,0,17
1736939746569,74,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,74,0,24
1736939746759,66,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,66,0,19
1736939746960,64,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,64,0,18
1736939747142,79,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,79,0,18
1736939747342,70,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,70,0,22
1736939747523,82,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,82,0,18
1736939747709,79,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,79,0,19
1736939747944,105,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,105,0,37
1736939748163,61,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,61,0,14
1736939748323,64,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,63,0,16
1736939748520,62,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,62,0,17
1736939748689,269,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,269,0,66
1736939749063,76,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,76,0,15
1736939749249,72,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,72,0,21
1736939749425,61,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,61,0,15
1736939749591,117,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,117,0,32
1736939749810,73,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,73,0,17
1736939749983,68,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,68,0,23
1736939750153,157,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,157,0,17
1736939750409,68,Initiate,201,Created,Load test 1-1,text,true,,581,1755,1,1,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/initiate,68,0,20
