timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736948113570,335,Execute,400,Bad Request,Load test 1-17,text,false,,869,2314,19,19,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7442/execute,334,0,234
1736948113568,366,Execute,400,Bad Request,Load test 1-16,text,false,,869,2314,19,19,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7443/execute,365,0,232
1736948113575,370,Execute,400,Bad Request,Load test 1-18,text,false,,869,2314,19,19,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7441/execute,370,0,226
1736948113567,445,Execute,400,Bad Request,Load test 1-14,text,false,,869,2314,20,20,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7445/execute,444,0,272
1736948113588,437,Execute,400,Bad Request,Load test 1-22,text,false,,869,2314,20,20,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7437/execute,437,0,267
1736948113585,458,Execute,400,Bad Request,Load test 1-24,text,false,,869,2314,20,20,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7435/execute,458,0,260
1736948113589,482,Execute,400,Bad Request,Load test 1-13,text,false,,869,2314,20,20,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7446/execute,482,0,270
1736948113571,523,Execute,400,Bad Request,Load test 1-15,text,false,,869,2314,21,21,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7444/execute,523,0,293
1736948113572,529,Execute,400,Bad Request,Load test 1-19,text,false,,869,2314,21,21,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7440/execute,529,0,256
1736948113573,560,Execute,400,Bad Request,Load test 1-21,text,false,,869,2314,21,21,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7438/execute,560,0,265
1736948113881,263,Execute,400,Bad Request,Load test 1-12,text,false,,869,2314,21,21,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7447/execute,263,0,51
1736948113966,214,Execute,400,Bad Request,Load test 1-11,text,false,,869,2314,21,21,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7448/execute,214,0,82
1736948113996,186,Execute,400,Bad Request,Load test 1-10,text,false,,869,2314,21,21,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7449/execute,186,0,81
1736948114173,281,Execute,400,Bad Request,Load test 1-8,text,false,,869,2314,24,24,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7454/execute,281,0,207
1736948114160,296,Execute,400,Bad Request,Load test 1-9,text,false,,869,2314,24,24,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7450/execute,296,0,223
1736948114172,320,Execute,400,Bad Request,Load test 1-17,text,false,,869,2314,24,24,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7451/execute,319,0,212
1736948114166,362,Execute,400,Bad Request,Load test 1-16,text,false,,869,2314,25,25,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7452/execute,362,0,215
1736948114270,263,Execute,400,Bad Request,Load test 1-14,text,false,,869,2314,25,25,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7455/execute,263,0,134
1736948114295,241,Execute,400,Bad Request,Load test 1-22,text,false,,869,2314,25,25,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7456/execute,241,0,108
1736948114143,406,Execute,400,Bad Request,Load test 1-18,text,false,,869,2314,25,25,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7453/execute,406,0,230
1736948114437,418,Execute,400,Bad Request,Load test 1-7,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7459/execute,417,0,276
1736948114452,418,Execute,400,Bad Request,Load test 1-19,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7461/execute,408,0,265
1736948114426,455,Execute,400,Bad Request,Load test 1-24,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7457/execute,455,0,239
1736948114434,456,Execute,400,Bad Request,Load test 1-21,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7462/execute,456,0,232
1736948114422,477,Execute,400,Bad Request,Load test 1-13,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7458/execute,477,0,239
1736948114529,405,Execute,400,Bad Request,Load test 1-5,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7467/execute,405,0,252
1736948114512,447,Execute,400,Bad Request,Load test 1-11,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7464/execute,447,0,265
1736948114500,465,Execute,400,Bad Request,Load test 1-12,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7463/execute,465,0,270
1736948114509,463,Execute,400,Bad Request,Load test 1-10,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7465/execute,463,0,269
1736948114488,490,Execute,400,Bad Request,Load test 1-6,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7466/execute,490,0,289
1736948114649,354,Execute,400,Bad Request,Load test 1-15,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7460/execute,354,0,187
1736948114790,220,Execute,400,Bad Request,Load test 1-4,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7468/execute,220,0,65
1736948114825,246,Execute,400,Bad Request,Load test 1-8,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7469/execute,246,0,60
1736948114852,422,Execute,400,Bad Request,Load test 1-9,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7470/execute,422,0,334
1736948114904,408,Execute,400,Bad Request,Load test 1-22,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7475/execute,408,0,317
1736948114859,486,Execute,400,Bad Request,Load test 1-3,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7472/execute,486,0,357
1736948114878,500,Execute,400,Bad Request,Load test 1-14,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7474/execute,500,0,343
1736948114875,509,Execute,400,Bad Request,Load test 1-16,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7473/execute,509,0,342
1736948114979,463,Execute,400,Bad Request,Load test 1-17,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7471/execute,463,0,250
1736948115006,447,Execute,400,Bad Request,Load test 1-1,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7478/execute,447,0,224
1736948114907,548,Execute,400,Bad Request,Load test 1-18,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7476/execute,548,0,328
1736948114931,526,Execute,400,Bad Request,Load test 1-2,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7477/execute,526,0,301
1736948115274,311,Execute,400,Bad Request,Load test 1-7,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7479/execute,311,0,142
1736948115300,357,Execute,400,Bad Request,Load test 1-19,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7480/execute,356,0,250
1736948115292,375,Execute,400,Bad Request,Load test 1-24,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7481/execute,372,0,258
1736948115303,424,Execute,400,Bad Request,Load test 1-21,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7482/execute,424,0,298
1736948115349,423,Execute,400,Bad Request,Load test 1-15,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7489/execute,423,0,268
1736948115346,447,Execute,400,Bad Request,Load test 1-10,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7487/execute,447,0,266
1736948115317,490,Execute,400,Bad Request,Load test 1-13,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7483/execute,490,0,288
1736948115352,490,Execute,400,Bad Request,Load test 1-6,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7488/execute,490,0,339
1736948115370,482,Execute,400,Bad Request,Load test 1-5,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7484/execute,482,0,321
1736948115374,508,Execute,400,Bad Request,Load test 1-8,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7491/execute,507,0,323
1736948115362,527,Execute,400,Bad Request,Load test 1-11,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7485/execute,527,0,333
1736948115359,536,Execute,400,Bad Request,Load test 1-12,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7486/execute,536,0,337
1736948115355,562,Execute,400,Bad Request,Load test 1-4,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7490/execute,562,0,337
1736948115620,312,Execute,400,Bad Request,Load test 1-9,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7492/execute,312,0,157
1736948115810,305,Execute,400,Bad Request,Load test 1-17,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7497/execute,304,0,235
1736948115810,337,Execute,400,Bad Request,Load test 1-14,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7495/execute,337,0,238
1736948115809,342,Execute,400,Bad Request,Load test 1-16,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7496/execute,342,0,236
1736948115836,388,Execute,400,Bad Request,Load test 1-1,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7498/execute,388,0,225
1736948115853,384,Execute,400,Bad Request,Load test 1-7,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7501/execute,384,0,210
1736948115877,383,Execute,400,Bad Request,Load test 1-19,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7502/execute,383,0,198
1736948115872,392,Execute,400,Bad Request,Load test 1-24,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7503/execute,391,0,188
1736948115827,446,Execute,400,Bad Request,Load test 1-2,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7500/execute,445,0,229
1736948115838,464,Execute,400,Bad Request,Load test 1-18,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7499/execute,464,0,221
